Description: this dataset shows number of WaterCure units sold per day and the corresponding daily temperature from January 2024 to August 2024,,,
,,,
Date,Daily Units Sold,Daily Unit Price,Daily Temperature (C)
6/29/2024,59,20.5,18
6/30/2024,58,20.5,16
7/1/2024,53,20.5,9
7/2/2024,57,20.5,17
7/3/2024,54,20.5,11
7/4/2024,58,20.5,19
7/5/2024,54,20.5,13
7/6/2024,54,20.5,11
7/7/2024,54,20.5,12
7/8/2024,57,20.5,17
7/9/2024,56,20.5,15
7/10/2024,56,20.5,15
7/11/2024,54,20.5,12
7/12/2024,55,20.5,14
7/13/2024,57,20.5,17
7/14/2024,53,20.5,9
7/15/2024,54,20.5,13
7/16/2024,58,20.5,18
7/17/2024,57,20.5,17
7/18/2024,56,20.5,15
7/19/2024,54,20.5,11
7/20/2024,56,20.5,16
7/21/2024,57,20.5,17
7/22/2024,56,20.5,15
7/23/2024,58,20.5,18
7/24/2024,53,20.5,9
7/25/2024,56,20.5,15
7/26/2024,54,20.5,11
7/27/2024,52,20.5,8
7/28/2024,56,20.5,15
7/29/2024,54,20.5,12
7/30/2024,57,20.5,17
7/31/2024,54,20.5,11
8/1/2024,28,22.2,15
8/2/2024,42,22.2,19
8/3/2024,31,22.2,16
8/4/2024,20,22.2,13
8/5/2024,27,22.2,15
8/6/2024,27,22.2,15
8/7/2024,11,22.2,11
8/8/2024,11,22.2,11
8/9/2024,40,22.2,19
8/10/2024,26,22.2,15
8/11/2024,19,22.2,13
8/12/2024,22,22.2,14
8/13/2024,26,22.2,15
8/14/2024,19,22.2,13
8/15/2024,59,22.2,21
8/16/2024,72,22.2,24
8/17/2024,29,22.2,16
8/18/2024,37,22.2,18
8/19/2024,50,22.2,20
8/20/2024,63,22.2,22
8/21/2024,22,22.2,14
8/22/2024,11,22.2,11
8/23/2024,40,22.2,19
8/24/2024,29,22.2,16
8/25/2024,22,22.2,14
8/26/2024,26,22.2,15
8/27/2024,29,22.2,16
8/28/2024,59,22.2,21
8/29/2024,33,22.2,17
8/30/2024,33,22.2,17
8/31/2024,37,22.2,18
